transport_type,daily_distance_km,travel_days_per_week,electricity_kwh_month,diet_type,food_waste_frequency,waste_kg_week,recycling_frequency,flights_per_year,total_carbon_tonnes
Train,3.9,5,185.0,Vegetarian,Rarely,15.1,Sometimes,1-2,2.4975
Car,50.2,7,159.0,Non-Vegetarian,Sometimes,5.2,Sometimes,3-5,6.9967
Car,65.4,6,237.0,Vegetarian,Often,7.4,Never,0,6.7969
Walking,6.0,6,119.0,Mixed,Rarely,6.6,Often,3-5,2.5347
Motorcycle,19.4,3,75.0,Non-Vegetarian,Sometimes,2.5,Sometimes,0,2.4869
Motorcycle,32.8,4,419.0,Mixed,Sometimes,2.4,Often,1-2,5.072
Car,39.7,5,594.0,Non-Vegetarian,Sometimes,14.0,Often,3-5,8.013
Car,25.1,4,552.0,Non-Vegetarian,Sometimes,5.0,Sometimes,3-5,6.7811
Train,8.3,4,186.0,Non-Vegetarian,Sometimes,12.1,Often,0,3.0768
Bus,6.4,3,524.0,Vegetarian,Rarely,13.9,Sometimes,0,4.8731
Train,20.3,5,584.0,Mixed,Rarely,14.7,Often,1-2,5.0859
Car,37.6,6,52.0,Mixed,Sometimes,19.5,Often,1-2,4.662
Car,51.9,7,385.0,Vegetarian,Often,11.2,Often,1-2,7.6203
Car,74.7,5,182.0,Non-Vegetarian,Sometimes,2.5,Often,3-5,7.2501
Electric Vehicle,45.0,4,121.0,Non-Vegetarian,Sometimes,6.0,Often,1-2,3.2614
Bicycle,2.0,4,269.0,Non-Vegetarian,Sometimes,18.1,Sometimes,0,3.803
Car,6.6,7,177.0,Non-Vegetarian,Rarely,13.0,Sometimes,6+,5.3177
Car,55.2,4,347.0,Mixed,Often,11.9,Sometimes,1-2,6.1323
Motorcycle,12.1,6,245.0,Non-Vegetarian,Often,2.0,Often,1-2,4.4492
Walking,1.3,3,155.0,Non-Vegetarian,Sometimes,6.3,Sometimes,6+,4.8476
Bus,34.9,7,104.0,Non-Vegetarian,Sometimes,1.3,Never,3-5,4.3276
Bus,35.0,3,141.0,Vegan,Sometimes,18.6,Often,0,2.2858
Bicycle,6.0,6,414.0,Non-Vegetarian,Rarely,5.1,Never,3-5,4.9644
Car,40.8,7,137.0,Mixed,Rarely,4.5,Sometimes,1-2,5.2234
